Clock frequency is approx. 2196.1 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	
32m	8099.1	7796.4	5464.5	4118.0	3224.7	2696.0	2266.6	1974.5	1824.2	1724.8	1650.0	1551.6	1477.7	1470.2	1448.4	1418.1	1370.8	1333.9	1301.5	1254.7	1237.1	1204.6	1431.9	1460.6	1536.6	1538.8	1625.9	1645.7	1635.2	1726.8	1845.1	1207.4	1889.9	1914.1	1908.2	1915.7	2039.8	2015.7	2132.0	1990.5	2324.9	2460.4	2881.9	3011.2	2972.1	2489.4	3225.4	1850.9	3410.4	3386.0	3459.2	3448.4	3621.2	3644.1	3586.0	3911.6	3988.5	2732.4	3030.2	3176.8	3101.2	4011.6	3677.1	1288.0	
16m	8224.3	7971.3	6015.6	4341.2	3407.9	2841.0	2426.6	2096.6	1976.0	1853.3	1874.1	1781.8	1816.4	1812.7	1871.4	1662.1	1935.4	1954.3	2076.1	1685.1	2322.8	2489.1	2552.2	2540.9	2737.9	2754.1	2819.4	2902.1	2889.2	3209.8	3022.7	1466.3	3231.0	3408.6	3372.6	3475.9	3335.7	3510.7	3667.6	2368.3	3629.8	3675.0	4248.7	4247.1	4613.6	4737.8	4648.4	3576.0	4715.1	4749.7	4792.0	4828.7	4787.0	4795.9	4678.7	4705.4	4660.5	4679.4	4601.9	4572.7	4496.2	4450.9	4280.0	1174.5	
8m	8370.3	8262.8	7238.9	5838.7	4758.0	4054.0	3512.8	3089.8	2952.1	2935.6	2884.3	2921.8	2971.5	3169.4	3022.2	2489.8	3349.0	3489.1	3641.7	3469.6	3721.7	3966.3	3956.4	4099.7	4060.9	4147.3	4158.0	4134.3	3834.3	4066.6	4169.8	2230.3	3997.6	4159.9	4171.1	4184.0	4165.6	4240.9	4190.2	4235.6	4321.3	4481.1	4820.2	4855.3	4868.0	4867.6	4869.5	4976.7	4871.3	4891.0	4864.3	4842.5	4822.1	4797.3	4768.2	4765.5	4730.9	4654.3	4616.6	4545.6	4504.4	4450.2	4397.7	2317.6	
4m	8458.3	8679.6	8611.4	8508.1	7659.3	6916.6	6038.5	5225.2	5073.6	4883.4	4812.2	4720.1	4678.1	4637.6	4645.3	4539.3	4593.0	4514.5	4567.2	4478.2	4537.3	4483.6	4472.4	4468.3	4429.0	4492.3	4493.3	4464.4	4463.5	4456.9	4461.7	4282.1	4450.6	4459.4	4435.7	4463.7	4457.2	4499.5	4538.6	4539.8	4571.8	4614.9	5093.4	5134.2	5207.8	5205.1	5195.6	5124.3	5249.7	5215.5	5197.4	5195.8	5222.7	5191.3	5189.1	5162.7	5188.0	5143.5	5218.9	5174.2	5209.1	5162.1	5336.4	4822.2	
2m	8783.7	8781.0	8778.8	8745.9	8421.9	7132.6	6196.6	5476.7	5249.2	5087.8	4960.0	4609.4	4553.0	4513.8	4740.2	4686.5	4695.7	4651.9	4635.8	4610.3	4598.7	4580.6	4565.0	4552.7	4555.6	4544.2	4529.8	4539.2	4543.9	4520.8	4518.4	4506.9	4525.6	4490.6	4511.9	4536.5	4521.3	4535.5	4519.3	4525.8	4533.4	4520.7	5064.9	5335.9	5555.5	5304.6	5384.6	4753.1	5764.9	5655.1	5837.3	5964.8	5987.8	5912.9	6259.3	6169.6	6287.8	6203.4	6517.8	6617.0	6494.0	6664.5	6344.7	5195.8	
1024k	8782.5	8778.3	8770.2	8748.8	8446.8	7144.3	6188.9	5479.4	5255.3	5086.9	4952.7	4865.3	4812.4	4763.7	4741.1	4695.4	4693.8	4649.3	4640.0	4615.4	4600.8	4572.7	4552.1	4547.2	4557.7	4547.4	4519.2	4541.7	4546.2	4522.1	4548.3	4524.7	4604.2	4619.2	4674.1	4722.1	4816.2	4894.1	4965.0	6673.8	7608.3	6954.3	8118.8	7730.4	7776.7	8214.6	8184.9	5435.5	8046.9	8712.5	8723.2	8675.9	8696.4	8717.0	8657.6	8734.0	8628.6	8733.1	8711.8	8690.8	8697.8	8730.6	8678.0	5208.5	
512k	8781.4	8779.0	8773.6	8721.5	8442.4	7141.1	6181.2	5471.1	5258.1	5069.8	4965.8	4855.1	4818.1	4766.5	4840.9	4735.5	4924.9	4923.4	5028.9	5314.6	5049.5	5475.5	5677.0	5829.1	6130.7	5948.7	6506.5	6577.0	7319.5	7152.2	8028.6	4490.8	8431.4	8436.4	8413.1	8447.3	8418.9	8421.2	8439.7	8382.1	8407.6	8424.6	8393.3	8424.4	8404.9	8089.4	8165.8	6936.3	8130.1	8159.4	8173.7	8122.1	8148.4	8213.3	8170.6	8075.3	8118.8	8209.4	8158.2	8117.3	8170.2	8123.4	8079.5	4859.6	
256k	8248.9	8511.6	8508.3	8506.1	8434.9	7883.9	7328.6	6827.4	6703.6	6737.8	6800.3	6774.0	7019.9	7329.7	7620.9	6303.5	7658.0	7924.1	8032.7	8103.6	7722.2	8354.5	8326.3	8311.0	8403.6	8182.2	8374.6	8384.9	8340.5	8350.5	8319.9	6233.6	8386.3	8340.8	8264.6	8354.1	8319.3	8332.6	8329.5	8289.7	8287.8	8286.4	8253.6	8279.8	8253.0	8243.3	8219.8	8203.0	8237.6	8258.2	8239.3	8261.5	8228.7	8276.2	8267.4	8263.6	8360.7	8353.6	8240.9	8242.9	8277.7	8290.2	8292.1	6343.6	
128k	8512.6	8508.1	8501.4	8496.0	8490.9	8484.9	8485.2	8462.0	8456.3	8441.1	8451.7	8427.8	8393.1	8433.0	8372.3	8367.6	8340.8	8397.9	8360.1	8366.8	8316.6	8353.8	8286.9	8374.9	8281.9	8286.3	8225.1	8303.6	8283.9	8328.7	8349.9	8045.8	8401.4	8382.1	8338.9	8379.2	8382.0	8305.1	8366.0	8365.5	8355.6	8355.8	8346.2	8299.4	8305.2	8342.2	8364.3	7993.7	8317.7	8341.9	8299.9	8235.3	8355.3	8302.0	8333.2	8315.3	8249.7	8295.9	8239.0	8298.0	8275.8	8319.9	8275.1	7890.5	
64k	8506.1	8496.0	8484.9	8446.2	8431.2	8433.8	8391.7	8352.0	8328.0	8289.7	8279.8	8248.1	8261.5	8237.1	8314.3	8103.7	8382.1	8379.2	8360.1	8365.5	8355.8	8299.4	8320.0	8303.7	8341.9	8309.5	8302.0	8315.3	8295.9	8298.0	8319.9	7946.3	8225.0	8297.7	8288.4	8224.0	8275.0	8194.9	8235.3	8212.7	8237.9	8156.9	8243.4	8174.9	8115.5	8186.4	8141.9	8235.3	8156.0	8126.7	8109.1	8186.6	8126.8	8072.3	8173.5	8131.1	8087.5	8049.9	8018.6	8156.9	8077.4	8004.3	7985.8	7862.9	
32k	8496.0	8478.0	8451.6	8438.2	8425.6	8386.6	8357.6	8375.4	8379.2	8365.5	8320.5	8303.7	8309.5	8288.4	8298.0	8237.3	8265.3	8224.0	8194.9	8326.8	8156.9	8174.9	8186.4	8235.3	8126.7	8186.6	8072.3	8131.1	8049.9	8101.8	8059.9	7862.9	8068.6	8010.7	8092.7	8058.2	7965.3	7887.6	7816.6	7752.6	7903.9	7857.5	7968.6	7931.5	7837.0	7818.1	7730.7	7966.6	7887.0	7903.5	7746.6	7772.7	7711.2	7648.4	7596.9	7469.2	7781.2	7741.2	7714.1	7686.3	7559.6	7529.4	7512.9	7496.0	
16k	8482.0	8470.0	8410.1	8422.4	8365.5	8373.3	8315.3	8328.8	8224.0	8175.4	8174.9	8101.8	8186.6	8131.1	8101.8	8147.8	7950.5	7993.7	7887.6	7958.4	7786.1	7931.5	7818.1	7966.6	7903.5	7772.7	7921.6	7833.6	7741.2	7589.0	7529.4	7808.3	7359.8	7545.1	7557.1	7569.8	7353.6	7280.9	7686.3	7485.0	7553.8	7383.4	7339.5	7294.1	7267.0	7238.9	7492.5	7488.6	7484.6	7480.4	7343.2	7205.9	7219.0	10397.1	7089.5	6970.2	7003.1	6881.1	6912.7	13033.3	10899.1	10736.4	6639.3	6692.8	
8k	8446.2	8422.4	8373.3	8237.3	8175.4	8101.8	7979.6	7974.4	8058.2	7958.4	7707.0	7720.3	7772.7	7833.6	7589.0	7496.0	7654.5	7569.8	7394.6	7485.0	7512.9	7294.1	7238.9	7488.6	7327.7	7205.9	7232.8	7125.1	6881.1	6812.8	10736.4	6692.8	11346.4	6427.6	12235.3	12462.8	11555.6	13887.0	10980.4	14000.0	12853.5	13382.4	13039.2	10211.8	10518.1	8884.2	12737.3	12444.5	13098.1	11186.3	12549.0	13261.0	13007.6	12754.2	13542.5	11451.0	12078.5	11909.5	9470.6	7859.7	11318.3	11149.3	10980.4	11712.4	
4k	7434.0	8328.8	8101.8	7974.4	7958.4	7966.6	7833.6	7496.0	7569.8	7485.0	7294.1	7488.6	7205.9	10342.8	6812.8	12221.7	6427.6	13847.5	6745.1	6588.2	6297.6	6189.0	13030.1	12444.5	12784.3	12313.8	5526.8	11451.0	9107.3	10666.7	11149.3	10811.5	11346.4	10135.8	9882.4	9544.5	10065.4	9790.9	8868.8	5090.9	9882.4	8875.8	8024.1	7855.2	7686.3	6980.4	6823.5	7777.8	7594.8	7411.8	7320.3	7786.1	7045.8	6862.8	6250.4	6679.8	7087.4	6987.5	6887.7	6787.9	6130.7	6039.2	6488.4	5856.2	
